                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.762,                 4.8309,                 1.9505,                0.46775,                 0.1358,                 0.0924,                0.03422,                 2.5013,                 2.9772,                 1.7834,             0.00014299,             0.00014299,             0.00014299
                      2,                 2.2908,                 2.7915,                 1.5826,                0.33207,                0.16804,                0.10486,                0.04121,                 2.3624,                 2.6125,                 1.6257,             0.00027373,             0.00027373,             0.00027373
                      3,                  2.235,                 2.4568,                 1.5364,                0.25318,                0.25443,                0.16609,                0.05987,                 2.3572,                 2.4767,                 1.6854,             0.00039012,             0.00039012,             0.00039012
                      4,                 2.1747,                 2.3503,                  1.526,                0.26441,                0.33279,                0.21085,                0.07607,                 2.2969,                 2.4782,                 1.6651,              0.0003704,              0.0003704,              0.0003704
                      5,                 2.1454,                  2.239,                 1.5106,                0.41901,                0.26604,                0.19124,                 0.0834,                 2.3676,                 2.3506,                 1.6818,             0.00034887,             0.00034887,             0.00034887
                      6,                 2.1165,                 2.1477,                 1.4988,                0.36644,                  0.331,                 0.2566,                 0.1049,                 2.2381,                 2.1858,                 1.5786,             0.00032734,             0.00032734,             0.00032734
                      7,                 2.0571,                 2.0549,                  1.459,                0.43966,                0.31451,                0.27488,                0.11056,                 2.2401,                 2.1963,                 1.5889,              0.0003058,              0.0003058,              0.0003058
                      8,                 2.0307,                 1.9696,                  1.445,                0.40263,                0.29872,                0.25476,                0.10967,                 2.2154,                 2.2927,                 1.5708,             0.00028427,             0.00028427,             0.00028427
                      9,                 2.0086,                 1.9226,                 1.4239,                0.43211,                0.32925,                  0.304,                0.13322,                 2.1791,                 2.0694,                 1.5333,             0.00026274,             0.00026274,             0.00026274
                     10,                 1.9692,                 1.8663,                 1.4056,                0.35335,                0.35862,                 0.2748,                0.12407,                 2.1746,                 2.1155,                 1.5314,             0.00024121,             0.00024121,             0.00024121
                     11,                   1.98,                 1.8507,                 1.4187,                0.43422,                0.35735,                0.31591,                0.12881,                 2.2021,                 2.0414,                 1.5738,             0.00021968,             0.00021968,             0.00021968
                     12,                  1.965,                 1.7776,                 1.4043,                0.44396,                0.36808,                0.33042,                0.14107,                 2.1695,                 1.9999,                 1.5189,             0.00019814,             0.00019814,             0.00019814
                     13,                 1.9102,                  1.683,                 1.3732,                0.43957,                0.35497,                0.30591,                0.13651,                 2.1807,                 2.0296,                 1.5573,             0.00017661,             0.00017661,             0.00017661
                     14,                 1.8769,                 1.6239,                 1.3497,                0.41707,                0.38829,                0.28882,                0.12031,                 2.2244,                  2.041,                 1.5441,             0.00015508,             0.00015508,             0.00015508
                     15,                 1.8594,                 1.5599,                 1.3424,                0.45255,                0.40871,                0.33726,                0.14688,                 2.1569,                 1.9385,                 1.5301,             0.00013355,             0.00013355,             0.00013355
                     16,                 1.8003,                  1.463,                 1.3112,                0.44477,                0.38922,                0.32352,                0.14393,                 2.2101,                 2.0164,                  1.539,             0.00011201,             0.00011201,             0.00011201
                     17,                 1.7821,                 1.4339,                  1.297,                0.43721,                 0.3692,                0.32192,                0.14345,                 2.1784,                 2.0033,                 1.5305,              9.048e-05,              9.048e-05,              9.048e-05
                     18,                 1.7478,                  1.381,                 1.2905,                0.43674,                0.38995,                0.32084,                0.14671,                 2.1707,                 2.0393,                 1.5292,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     19,                 1.7211,                 1.3604,                 1.2708,                0.45972,                0.39268,                0.33832,                0.14911,                 2.1905,                  1.916,                 1.5434,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     20,                 1.6962,                 1.2992,                 1.2643,                0.51751,                0.37558,                0.35401,                0.16065,                 2.1817,                 1.9268,                 1.5348,             2.5883e-05,             2.5883e-05,             2.5883e-05
