                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6778,                 1.3224,                 1.2847,                0.45163,                0.30197,                0.28404,                0.12271,                 2.2908,                 2.1652,                 1.7116,             0.00029719,             0.00029719,             0.00029719
                     34,                 1.6658,                 1.2914,                 1.2761,                0.53941,                0.31153,                0.31927,                0.14446,                 2.2956,                 2.1565,                  1.723,             0.00029289,             0.00029289,             0.00029289
                     35,                 1.6498,                  1.246,                 1.2768,                0.41177,                0.32186,                0.27452,                0.11981,                 2.3654,                 2.1686,                 1.8192,             0.00028858,             0.00028858,             0.00028858
                     36,                 1.6487,                 1.2448,                 1.2797,                0.48007,                0.32537,                0.29582,                0.13154,                  2.311,                 2.1564,                 1.7505,             0.00028427,             0.00028427,             0.00028427
                     37,                 1.6346,                 1.2442,                 1.2639,                0.29778,                0.37883,                0.26837,                0.12459,                 2.3228,                 2.1279,                 1.7646,             0.00027997,             0.00027997,             0.00027997
                     38,                 1.6218,                 1.2057,                 1.2565,                0.44367,                0.38695,                0.30314,                0.13498,                 2.3089,                 2.0886,                 1.7497,             0.00027566,             0.00027566,             0.00027566
                     39,                 1.6119,                 1.1907,                 1.2502,                0.45571,                0.36823,                0.30654,                0.13953,                 2.3226,                 2.1685,                  1.743,             0.00027135,             0.00027135,             0.00027135
                     40,                 1.6087,                 1.1762,                 1.2468,                 0.3725,                0.34289,                0.30405,                0.13903,                 2.3062,                 2.1514,                  1.743,             0.00026705,             0.00026705,             0.00026705
                     41,                 1.5872,                 1.1668,                 1.2429,                0.54914,                0.32889,                0.30057,                0.13786,                 2.3356,                  2.155,                 1.7631,             0.00026274,             0.00026274,             0.00026274
                     42,                  1.575,                  1.125,                 1.2271,                0.49037,                 0.3508,                0.31116,                0.13828,                 2.3415,                 2.2065,                 1.7884,             0.00025843,             0.00025843,             0.00025843
                     43,                 1.5658,                 1.1257,                 1.2226,                0.51269,                 0.3012,                0.27648,                0.11911,                 2.3946,                 2.2441,                 1.8454,             0.00025413,             0.00025413,             0.00025413
                     44,                 1.5637,                 1.1163,                 1.2278,                0.51958,                0.27299,                0.26118,                0.11714,                 2.3844,                 2.1651,                  1.839,             0.00024982,             0.00024982,             0.00024982
                     45,                 1.5437,                 1.0872,                 1.2131,                0.53658,                0.31951,                0.29658,                0.13203,                 2.3538,                 2.1911,                 1.7773,             0.00024551,             0.00024551,             0.00024551
                     46,                 1.5349,                 1.0791,                 1.2102,                 0.4776,                0.35991,                0.30946,                0.13163,                 2.3812,                 2.1938,                 1.7926,             0.00024121,             0.00024121,             0.00024121
                     47,                 1.5164,                 1.0641,                 1.2032,                0.48335,                0.33477,                0.29674,                 0.1303,                 2.3954,                 2.3144,                 1.8135,              0.0002369,              0.0002369,              0.0002369
                     48,                 1.5267,                 1.0614,                 1.2088,                0.44118,                0.34006,                 0.2923,                0.13704,                 2.3362,                 2.1672,                 1.7788,             0.00023259,             0.00023259,             0.00023259
                     49,                 1.4906,                  1.028,                 1.1967,                0.53924,                0.28871,                0.30311,                0.13323,                 2.3992,                 2.2579,                 1.8623,             0.00022829,             0.00022829,             0.00022829
                     50,                 1.4876,                 1.0366,                  1.187,                0.38183,                0.31593,                0.28716,                0.12956,                  2.407,                 2.2694,                 1.8399,             0.00022398,             0.00022398,             0.00022398
                     51,                 1.4698,                 1.0005,                 1.1776,                0.54352,                0.30782,                0.30668,                0.13482,                 2.3598,                 2.2391,                 1.8154,             0.00021968,             0.00021968,             0.00021968
                     52,                 1.4487,                0.98791,                 1.1714,                0.38876,                0.34631,                0.30339,                0.12415,                 2.3862,                 2.3195,                 1.8142,             0.00021537,             0.00021537,             0.00021537
                     53,                 1.4583,                0.99604,                 1.1809,                0.30988,                0.37048,                 0.2894,                0.12857,                  2.407,                 2.2766,                 1.8322,             0.00021106,             0.00021106,             0.00021106
                     54,                 1.4526,                0.98241,                 1.1752,                0.46967,                0.32397,                0.28605,                0.12423,                 2.4238,                 2.3435,                 1.8342,             0.00020676,             0.00020676,             0.00020676
                     55,                 1.4312,                0.96708,                 1.1692,                0.47941,                0.33901,                0.30084,                 0.1422,                 2.4072,                 2.2756,                 1.8204,             0.00020245,             0.00020245,             0.00020245
                     56,                 1.4245,                0.95588,                 1.1481,                0.44617,                 0.3332,                0.31158,                0.13601,                 2.3647,                 2.2616,                 1.8078,             0.00019814,             0.00019814,             0.00019814
                     57,                  1.409,                0.93462,                 1.1491,                 0.4467,                0.33318,                0.29754,                0.12529,                 2.4161,                 2.3393,                 1.8248,             0.00019384,             0.00019384,             0.00019384
                     58,                 1.3987,                0.93324,                 1.1483,                0.46446,                0.34092,                0.28609,                0.12607,                 2.4405,                 2.3493,                 1.8624,             0.00018953,             0.00018953,             0.00018953
                     59,                 1.3932,                0.92851,                 1.1379,                0.42582,                0.35805,                  0.302,                0.13359,                  2.413,                  2.344,                 1.8782,             0.00018522,             0.00018522,             0.00018522
                     60,                 1.4106,                0.92432,                 1.1417,                0.45572,                 0.3523,                0.30581,                 0.1377,                 2.3987,                 2.2844,                 1.8627,             0.00018092,             0.00018092,             0.00018092
                     61,                 1.3757,                0.90519,                 1.1324,                0.55601,                0.35579,                0.30273,                0.13745,                  2.414,                 2.3065,                 1.8745,             0.00017661,             0.00017661,             0.00017661
                     62,                 1.3739,                0.91032,                 1.1388,                0.46431,                0.36811,                0.30312,                0.13156,                 2.4471,                 2.3867,                 1.8645,              0.0001723,              0.0001723,              0.0001723
                     63,                 1.3718,                0.89751,                 1.1328,                0.44458,                0.37085,                0.29761,                0.12656,                 2.4567,                 2.3427,                  1.892,               0.000168,               0.000168,               0.000168
                     64,                 1.3327,                0.86585,                 1.1211,                0.53765,                0.34584,                0.29828,                0.12863,                 2.4249,                 2.4134,                 1.8597,             0.00016369,             0.00016369,             0.00016369
                     65,                 1.3411,                 0.8716,                 1.1232,                0.44212,                0.33925,                0.30188,                0.13557,                 2.3954,                 2.3499,                 1.8817,             0.00015938,             0.00015938,             0.00015938
                     66,                 1.3398,                0.86952,                 1.1192,                 0.4215,                 0.3524,                0.31015,                0.13519,                 2.4221,                  2.428,                 1.8849,             0.00015508,             0.00015508,             0.00015508
                     67,                 1.3242,                0.85786,                 1.1077,                0.43984,                 0.3746,                0.30945,                0.14036,                 2.3931,                 2.4011,                 1.8721,             0.00015077,             0.00015077,             0.00015077
                     68,                 1.3223,                0.84415,                 1.1098,                0.54792,                0.30111,                0.30641,                0.13658,                 2.3802,                 2.3659,                 1.8356,             0.00014646,             0.00014646,             0.00014646
                     69,                 1.3199,                0.84527,                 1.1126,                0.39705,                0.36594,                0.32088,                0.14458,                 2.3782,                 2.3975,                 1.8442,             0.00014216,             0.00014216,             0.00014216
                     70,                 1.3069,                0.83754,                 1.1092,                0.38232,                0.32588,                0.29116,                0.13339,                 2.3827,                 2.3569,                 1.8473,             0.00013785,             0.00013785,             0.00013785
                     71,                 1.2994,                0.83464,                 1.1015,                0.50974,                0.29016,                 0.2943,                0.12478,                 2.4485,                 2.4033,                  1.894,             0.00013355,             0.00013355,             0.00013355
                     72,                 1.2918,                0.81428,                 1.1003,                0.39884,                0.32522,                0.30682,                0.14102,                 2.4208,                  2.475,                 1.8964,             0.00012924,             0.00012924,             0.00012924
                     73,                 1.2844,                0.81892,                 1.0904,                0.48696,                 0.3178,                0.31966,                0.14062,                 2.4153,                 2.3764,                 1.8942,             0.00012493,             0.00012493,             0.00012493
                     74,                 1.2794,                0.81762,                 1.0919,                0.39021,                0.34281,                0.29172,                0.13216,                 2.4194,                 2.4332,                 1.8887,             0.00012063,             0.00012063,             0.00012063
                     75,                 1.2687,                0.80553,                 1.0874,                0.49378,                0.33311,                0.29727,                0.13139,                 2.4203,                 2.4006,                 1.9146,             0.00011632,             0.00011632,             0.00011632
                     76,                 1.2487,                0.78637,                 1.0823,                0.40642,                0.33013,                0.30212,                0.13505,                  2.415,                 2.4247,                 1.9148,             0.00011201,             0.00011201,             0.00011201
                     77,                 1.2449,                0.79085,                 1.0716,                0.46633,                0.33828,                0.29365,                0.13317,                 2.3941,                 2.4377,                  1.901,             0.00010771,             0.00010771,             0.00010771
                     78,                 1.2508,                0.78238,                 1.0737,                0.53734,                0.31977,                0.30248,                0.12806,                 2.4333,                 2.4358,                 1.9138,              0.0001034,              0.0001034,              0.0001034
                     79,                 1.2227,                0.76761,                 1.0743,                 0.4857,                 0.3291,                0.28712,                0.12309,                 2.4498,                 2.4695,                 1.9546,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     80,                 1.2164,                0.77302,                 1.0669,                0.55048,                0.29554,                0.29361,                0.13065,                 2.4465,                 2.4138,                  1.923,             9.4786e-05,             9.4786e-05,             9.4786e-05
                     81,                  1.226,                0.76261,                 1.0631,                0.39817,                0.33298,                 0.3003,                0.13292,                 2.4209,                 2.4379,                 1.9342,              9.048e-05,              9.048e-05,              9.048e-05
                     82,                 1.2184,                0.76671,                 1.0639,                0.39446,                0.34358,                0.30358,                0.13794,                  2.399,                 2.4924,                 1.8974,             8.6173e-05,             8.6173e-05,             8.6173e-05
                     83,                 1.2065,                0.75077,                 1.0631,                 0.3618,                0.33628,                0.29178,                0.13078,                 2.4213,                 2.4801,                 1.9116,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     84,                 1.2099,                0.75064,                 1.0607,                0.54152,                0.33235,                0.29287,                0.13377,                 2.4276,                 2.4987,                 1.9273,             7.7561e-05,             7.7561e-05,             7.7561e-05
                     85,                 1.1697,                 0.7337,                 1.0446,                 0.4671,                0.32253,                 0.2944,                0.13493,                 2.4222,                 2.4898,                 1.9251,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     86,                 1.2014,                0.75057,                 1.0547,                0.37928,                0.31946,                 0.2815,                0.12572,                 2.4463,                    2.5,                 1.9594,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     87,                 1.1712,                0.73122,                 1.0532,                0.42268,                0.32775,                0.30068,                0.13383,                 2.4326,                 2.4794,                 1.9409,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     88,                  1.177,                0.73442,                 1.0504,                0.37419,                0.33117,                 0.2867,                0.13194,                 2.4549,                 2.4856,                 1.9532,             6.0335e-05,             6.0335e-05,             6.0335e-05
                     89,                 1.1551,                0.71717,                 1.0439,                0.40999,                 0.3283,                0.29409,                0.13195,                 2.4351,                 2.4035,                  1.953,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     90,                 1.1599,                0.72536,                 1.0425,                 0.4115,                0.33683,                0.28916,                0.13261,                 2.4335,                  2.457,                 1.9423,             5.1721e-05,             5.1721e-05,             5.1721e-05
                     91,                 1.1708,                0.69922,                 1.0542,                0.45487,                0.33983,                0.28148,                0.12593,                 2.4715,                 2.4313,                 1.9927,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     92,                 1.1331,                0.66751,                 1.0375,                0.36816,                0.32826,                0.28559,                0.13014,                 2.4569,                 2.4368,                 1.9787,             4.3108e-05,             4.3108e-05,             4.3108e-05
                     93,                 1.1105,                 0.6487,                 1.0305,                 0.4785,                0.29686,                0.28322,                0.12801,                  2.451,                 2.4631,                 1.9549,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     94,                 1.1115,                0.64667,                 1.0322,                0.44137,                0.32209,                0.28331,                0.13093,                 2.4346,                 2.4295,                 1.9465,             3.4495e-05,             3.4495e-05,             3.4495e-05
                     95,                 1.1043,                0.63535,                 1.0239,                0.47665,                 0.2899,                0.27467,                0.12527,                 2.4465,                 2.4643,                 1.9594,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     96,                 1.0817,                0.62166,                 1.0119,                 0.4703,                0.29761,                0.28069,                0.12728,                  2.458,                 2.5024,                 1.9738,             2.5883e-05,             2.5883e-05,             2.5883e-05
                     97,                 1.0818,                 0.6288,                 1.0174,                0.46829,                0.31154,                0.28947,                 0.1294,                  2.448,                 2.4754,                 1.9761,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     98,                  1.072,                0.62333,                 1.0147,                0.44731,                0.30482,                0.28216,                0.12966,                 2.4304,                 2.5271,                 1.9577,              1.727e-05,              1.727e-05,              1.727e-05
                     99,                 1.0651,                0.61769,                  1.008,                0.49794,                0.28418,                0.27904,                0.12584,                  2.451,                  2.497,                  1.988,             1.2963e-05,             1.2963e-05,             1.2963e-05
                    100,                 1.0671,                0.62205,                 1.0147,                0.44577,                0.30834,                0.28481,                0.13046,                 2.4452,                 2.5073,                  1.985,             8.6565e-06,             8.6565e-06,             8.6565e-06
