                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6307,                  4.658,                 1.9344,                0.40351,                0.16649,                 0.0925,                0.03209,                 2.4353,                 2.9603,                 1.8863,             0.00014399,             0.00014399,             0.00014399
                      2,                 2.2649,                 2.7997,                 1.6323,                0.29362,                0.17634,                0.13593,                0.05054,                   2.32,                 2.5963,                 1.7514,             0.00028613,             0.00028613,             0.00028613
                      3,                 2.1919,                 2.5465,                 1.6032,                0.22617,                0.19197,                0.15508,                 0.0613,                  2.281,                 2.5447,                 1.7927,             0.00042539,             0.00042539,             0.00042539
                      4,                 2.1635,                 2.4251,                 1.6036,                0.30973,                0.21054,                0.18755,                0.08008,                  2.233,                 2.3961,                 1.7466,             0.00042208,             0.00042208,             0.00042208
                      5,                  2.124,                 2.3106,                 1.5699,                0.35776,                0.32477,                0.24438,                0.09583,                 2.2473,                 2.3268,                 1.7314,             0.00041777,             0.00041777,             0.00041777
                      6,                 2.1126,                 2.2397,                 1.5507,                0.36881,                0.27209,                0.22786,                0.10769,                 2.2537,                 2.4436,                 1.6791,             0.00041347,             0.00041347,             0.00041347
                      7,                 2.0696,                  2.211,                 1.5314,                0.36384,                0.33879,                0.24002,                0.09355,                 2.2195,                 2.4312,                 1.7246,             0.00040916,             0.00040916,             0.00040916
                      8,                 2.0447,                 2.1431,                 1.5157,                0.36044,                0.32428,                0.23172,                0.10449,                 2.1789,                 2.8675,                 1.6896,             0.00040485,             0.00040485,             0.00040485
                      9,                 2.0455,                 2.1251,                 1.4962,                  0.387,                0.36468,                0.28268,                0.12639,                 2.1735,                  2.281,                 1.6606,             0.00040055,             0.00040055,             0.00040055
                     10,                  1.992,                 2.0637,                 1.4871,                0.38538,                0.30254,                0.27179,                0.11967,                 2.2005,                 2.2303,                 1.6977,             0.00039624,             0.00039624,             0.00039624
                     11,                 1.9943,                 2.0033,                 1.4989,                0.38811,                0.32245,                0.26357,                0.11655,                 2.1961,                 2.2107,                 1.6624,             0.00039193,             0.00039193,             0.00039193
                     12,                 1.9845,                 1.9574,                 1.4707,                0.39494,                 0.3764,                0.27006,                0.11874,                 2.2174,                 2.1437,                 1.7066,             0.00038763,             0.00038763,             0.00038763
                     13,                 1.9736,                 1.9434,                 1.4686,                0.34617,                0.29642,                0.22964,                0.09524,                 2.2121,                 2.2574,                 1.6739,             0.00038332,             0.00038332,             0.00038332
                     14,                  1.951,                 1.8781,                 1.4512,                0.40907,                0.36008,                0.28751,                0.12127,                 2.1829,                 2.1519,                 1.6545,             0.00037902,             0.00037902,             0.00037902
                     15,                 1.9208,                 1.8109,                 1.4346,                0.40316,                0.33407,                 0.2828,                0.11265,                 2.2489,                 2.1502,                 1.6619,             0.00037471,             0.00037471,             0.00037471
                     16,                 1.9112,                 1.7811,                 1.4246,                  0.366,                0.38829,                0.26276,                0.10816,                  2.222,                 2.1501,                 1.6665,              0.0003704,              0.0003704,              0.0003704
                     17,                 1.8822,                   1.75,                 1.4115,                0.44261,                0.33978,                0.28815,                0.12197,                 2.1626,                 2.1803,                 1.6384,              0.0003661,              0.0003661,              0.0003661
                     18,                 1.8827,                 1.7316,                 1.4149,                0.42218,                0.31649,                0.27132,                0.12401,                 2.2426,                 2.1265,                 1.6895,             0.00036179,             0.00036179,             0.00036179
                     19,                 1.8694,                 1.6913,                 1.4082,                0.46516,                0.30456,                0.26011,                0.11274,                 2.2682,                 2.1438,                 1.7331,             0.00035748,             0.00035748,             0.00035748
                     20,                 1.8694,                 1.6568,                 1.3939,                0.40118,                0.37525,                0.26631,                0.11862,                 2.2684,                 2.1741,                 1.6939,             0.00035318,             0.00035318,             0.00035318
                     21,                 1.8576,                 1.6351,                 1.3833,                0.43078,                0.36473,                0.24415,                0.09967,                 2.2275,                 2.2383,                 1.6804,             0.00034887,             0.00034887,             0.00034887
                     22,                  1.828,                 1.6051,                 1.3839,                0.46507,                0.33208,                0.25825,                 0.1172,                 2.2386,                 2.2462,                 1.6947,             0.00034456,             0.00034456,             0.00034456
                     23,                 1.7948,                 1.5713,                 1.3667,                 0.3911,                0.32086,                0.28553,                0.11911,                 2.3121,                  2.137,                 1.7243,             0.00034026,             0.00034026,             0.00034026
                     24,                 1.7991,                 1.5454,                 1.3512,                 0.4385,                0.35659,                0.23851,                0.11074,                 2.2426,                 2.1687,                 1.6768,             0.00033595,             0.00033595,             0.00033595
                     25,                 1.7821,                  1.497,                 1.3519,                0.46501,                0.31818,                0.29382,                0.12836,                 2.2555,                 2.1475,                 1.6739,             0.00033164,             0.00033164,             0.00033164
                     26,                 1.7754,                  1.473,                 1.3326,                0.47423,                 0.3702,                0.29364,                0.13612,                 2.2513,                 2.1363,                 1.6891,             0.00032734,             0.00032734,             0.00032734
                     27,                 1.7665,                 1.4727,                 1.3372,                0.51272,                0.30134,                0.28025,                0.12036,                 2.2601,                 2.1323,                 1.7035,             0.00032303,             0.00032303,             0.00032303
                     28,                 1.7363,                 1.4229,                 1.3285,                0.48508,                0.36905,                0.27747,                0.11633,                  2.318,                 2.1559,                  1.732,             0.00031872,             0.00031872,             0.00031872
                     29,                 1.7427,                 1.4146,                 1.3185,                0.45519,                0.33877,                 0.3001,                0.12543,                 2.2825,                 2.1808,                  1.702,             0.00031442,             0.00031442,             0.00031442
                     30,                  1.728,                 1.3752,                 1.2992,                 0.5043,                 0.3658,                0.32415,                0.13684,                 2.2946,                  2.132,                 1.7055,             0.00031011,             0.00031011,             0.00031011
                     31,                  1.689,                 1.3456,                 1.3059,                0.48544,                 0.3394,                0.28363,                 0.1288,                 2.2466,                 2.1209,                 1.6783,              0.0003058,              0.0003058,              0.0003058
                     32,                 1.6959,                  1.346,                 1.2941,                0.48952,                 0.3169,                0.28121,                0.12369,                 2.3031,                   2.13,                 1.7201,              0.0003015,              0.0003015,              0.0003015
